filename,width,height,class,xmin,ymin,xmax,ymax
fake_717_jpg.rf.cf5437d45d018d0c992223a87585f91d.jpg,416,416,Fake,91,28,324,324
fake_2495_jpg.rf.cf8917e905b89476bafcd26821ecbdba.jpg,416,416,Fake,89,22,335,318
fake_1462_jpg.rf.cf6b738419474f10cd4b3902e578afb5.jpg,416,416,Fake,32,0,325,331
real_1459_jpg.rf.cf9f5eae46c34051cbf3af518d54fc9f.jpg,416,416,Real,109,59,302,294
fake_630_jpg.rf.cfa69adcdc86dc7ea37c16f82ef0b3bf.jpg,416,416,Fake,14,8,321,364
real_624_jpg.rf.cf96886576c657533a5caa0389b78a4c.jpg,416,416,Real,238,53,416,348
real_2472_jpg.rf.cfb1ad349289950f360d8077744cf145.jpg,416,416,Real,103,58,313,335
fake_1802_jpg.rf.cfaa80050e886e5b7d1f2428f3bd6804.jpg,416,416,Fake,58,0,370,319
real_3681_jpg.rf.cfa5d7b5054d9894b45767eea38ff4f8.jpg,416,416,Real,101,89,310,303
fake_324-Kopya-10-_jpg.rf.cf6b805abc3b23bfe2732c465c63cd2e.jpg,416,416,Fake,130,125,287,302
real_2426_jpg.rf.cf81e6b7b953182883847b997c94ed08.jpg,416,416,Real,98,9,314,311
fake_1646_jpg.rf.cf7a333f0b54fdf9b723bc7f430f0ab7.jpg,416,416,Fake,33,0,335,336
fake_1417_jpg.rf.cf4a6d45c22aeeec992ba69c45ab9956.jpg,416,416,Fake,0,0,416,383
fake_1438_jpg.rf.cf726b11418f0d5d7351ae6a72b930d3.jpg,416,416,Fake,38,0,368,309
real_2994_jpg.rf.cfb46c7fdc328f51d01e52f15f54df21.jpg,416,416,Real,48,0,375,386
real_342_jpg.rf.cf9745de7dd07adcf2d2db38198a427b.jpg,416,416,Real,113,92,304,362
real_2863_jpg.rf.cf66518783f0a568e9ece96203badc94.jpg,416,416,Real,70,24,298,308
real_1720_jpg.rf.cf8930c4cdb0ebeca371b487a3e864ce.jpg,416,416,Real,79,52,325,338
real_2922_jpg.rf.cfae02d6b773f14b2511a20d4f98cc32.jpg,416,416,Real,101,60,315,350
fake_1312_jpg.rf.cf715118f0de65983ff61614fe6b442c.jpg,416,416,Fake,86,0,327,345
fake_625_jpg.rf.cf6fee45fd55fbcd3de975d62a106b51.jpg,416,416,Fake,25,0,371,366
fake_1877_jpg.rf.cf596456ea81881b43442ca8ce8c3558.jpg,416,416,Fake,16,0,397,383
real_697_jpg.rf.cfb8f6e2be9ec8b308e0ac5dee7571d5.jpg,416,416,Real,45,0,337,332
real_3628_jpg.rf.cfc04ac23961a9e4d6c718c253cd385c.jpg,416,416,Real,127,54,312,299
real_3759_jpg.rf.cf85739f9c7dd173a52dc780421adda3.jpg,416,416,Real,104,12,299,310
fake_2649_jpg.rf.cf7f4dfe1890ba5c9f13c788b09cd05a.jpg,416,416,Fake,70,0,331,337
fake_3783_jpg.rf.cfc6129880245e98479f284af623b5fa.jpg,416,416,Fake,88,48,307,313
real_3658_jpg.rf.cf682399efb6536872a8fc0eeab196f5.jpg,416,416,Real,80,63,330,312
real_1021_jpg.rf.cfb9e740b586f74a42d5765e0d112555.jpg,416,416,Real,53,0,354,357
real_1291_jpg.rf.cfc69cb6d4549744805c04dc611f6651.jpg,416,416,Real,107,62,324,325
fake_158_jpg.rf.cfc7af6fac9332fd74d9f19a892e3037.jpg,416,416,Fake,47,2,352,344
real_1159_jpg.rf.cfd8f5c86609051a26d8aa567b9d9d50.jpg,416,416,Real,19,0,361,356
real_1996_jpg.rf.cfe39128dc8a44923c16ecca55caca5c.jpg,416,416,Real,89,59,363,383
fake_1846_jpg.rf.cfdc2f1c9fa98ad88a6741987f511072.jpg,416,416,Fake,66,0,361,368
fake_2199_jpg.rf.cfe3d5aa7db8406e94d4d11cebc00265.jpg,416,416,Fake,84,4,331,361
fake_3290_jpg.rf.cfec6a7afbd8574c2fe8fbbccb69a755.jpg,416,416,Fake,107,47,334,369
fake_2891_jpg.rf.cfe6eacdc6c63530d4b1bc9d3e4e2bbf.jpg,416,416,Fake,106,59,326,343
real_2325_jpg.rf.cfed278dec2cf96613504566aaccb30d.jpg,416,416,Real,76,50,327,317
real_2125_jpg.rf.cfee313f4945880791680b0d7bd48dcf.jpg,416,416,Real,104,46,287,290
real_1261_jpg.rf.cfeeb9721ac81f799b9f108dce764074.jpg,416,416,Real,110,14,323,334
fake_827_jpg.rf.cfef726cad0077df02c8cba13ff7a81f.jpg,416,416,Fake,37,0,365,379
fake_107_jpg.rf.cffc3e9ec42556876412f31410e76a3d.jpg,416,416,Fake,82,40,330,344
real_1449_jpg.rf.cff58e530c7064d5d3288cdc83f0d698.jpg,416,416,Real,117,77,304,323
real_617_jpg.rf.cff1ac23b4ce533ede0b8678e91d5038.jpg,416,416,Real,26,0,362,317
real_1858_jpg.rf.cff86fe8c4c65b84306a0b0be9b5125a.jpg,416,416,Real,92,53,317,352
real_2016_jpg.rf.cffea5da0065f1a50ad1e84a21a5b51a.jpg,416,416,Real,101,29,311,332
real_2434_jpg.rf.d01021fdcfb65dc30e44092e63d409af.jpg,416,416,Real,99,46,381,365
fake_1336_jpg.rf.d0034a27a04b848b203f08ee05f63e66.jpg,416,416,Fake,0,0,330,339
fake_3290_jpg.rf.d0124c97bc70933373ada094766b2703.jpg,416,416,Fake,131,58,309,353
real_3080_jpg.rf.d012be633614be92307470bfd2eac5dd.jpg,416,416,Real,192,8,416,312
real_3432_jpg.rf.d0235fbb295c3de29fed74030d5b9a1d.jpg,416,416,Real,50,41,316,346
fake_3665_jpg.rf.d0269d3168f733c3bf731d2fb2391194.jpg,416,416,Fake,114,82,294,327
real_1477_jpg.rf.d021b0876947b488e3b06d4136d8aaab.jpg,416,416,Real,54,0,353,327
real_2066_jpg.rf.d03aa71d87a637691ce0002384017c26.jpg,416,416,Real,92,40,326,311
real_1917_jpg.rf.d0293ef3f3395e45587e8b44bde07494.jpg,416,416,Real,61,30,361,352
real_2464_jpg.rf.d0385d386585e9d32f0221ca2ec9fb06.jpg,416,416,Real,95,46,301,296
fake_2978_jpg.rf.d04531fa0a4f233a63d649bb4613a06d.jpg,416,416,Fake,108,50,326,317
fake_2094_jpg.rf.d02e919465d31cb7801f7b9fe6b9e1b8.jpg,416,416,Fake,97,13,317,330
fake_3215_jpg.rf.d04052cac9fdcc033ade5350cb63d5e4.jpg,416,416,Fake,17,16,327,377
fake_761_jpg.rf.d044aa8ee960b05b7159c5a538a2f114.jpg,416,416,Fake,55,0,385,380
real_563_jpg.rf.d04bff819036200821ea347911e0b51c.jpg,416,416,Real,71,46,301,315
real_858_jpg.rf.d04c29a41bdd5cfa8e85bb4f82ee6117.jpg,416,416,Real,148,25,368,326
real_1835_jpg.rf.d04e02c8b0e5689a3e21262157612815.jpg,416,416,Real,91,45,320,330
real_1922_jpg.rf.d05095e06b1b2e9062038d56edc1271a.jpg,416,416,Real,59,26,330,337
fake_1088_jpg.rf.d04c10bfce91004abd2050e7e9e333b0.jpg,416,416,Fake,0,0,328,346
real_1353_jpg.rf.d05c5938915b34da0a9b58ceb46c315a.jpg,416,416,Real,0,0,391,328
fake_734_jpg.rf.d0659f93c0bbc0e70ad8401b9b371daf.jpg,416,416,Fake,49,0,351,363
real_3187_jpg.rf.d060fc089365ba01d6a1ba56718c885a.jpg,416,416,Real,116,77,328,319
real_1056_jpg.rf.d061b9424dab7e7032d5f728920aa8c9.jpg,416,416,Real,91,56,288,311
real_2031_jpg.rf.d0696d34c48ebc23610e36d0740186f2.jpg,416,416,Real,85,75,327,364
real_574_jpg.rf.d06c404b5f5ef6b5b1910466d2c013fd.jpg,416,416,Real,131,69,282,249
fake_2431_jpg.rf.d06d6752699de797d5db6e6779d3ce58.jpg,416,416,Fake,54,0,381,333
real_888_jpg.rf.d0743259a5b777f15f445a5a4b91153d.jpg,416,416,Real,117,89,295,313
fake_3513_jpg.rf.d07bc14e6d1288e6cef15ca02502f646.jpg,416,416,Fake,103,27,348,322
real_240_jpg.rf.d0773e6a1691a28899a1240e7a693345.jpg,416,416,Real,90,34,320,328
real_2496_jpg.rf.d08482945a3ea0cb3ba59bc4de340750.jpg,416,416,Real,120,77,303,316
real_371_jpg.rf.d08e4e871623c3e5a82cda63bac534c4.jpg,416,416,Real,84,75,396,416
fake_963_jpg.rf.d07c5570550d15d02fdfc07209fd795c.jpg,416,416,Fake,64,0,367,368
fake_2311_jpg.rf.d08fde14de14893316232971f20d177c.jpg,416,416,Fake,42,0,370,364
fake_1500_jpg.rf.d097dbc8dd7a8a402b9d768e498e4f34.jpg,416,416,Fake,54,0,327,324
real_2710_jpg.rf.d09a6dd22d5cb9976e8bcfefd95a8212.jpg,416,416,Real,48,33,330,347
fake_2191_jpg.rf.d098f322fb4b7d2e159fc3c2a85d1773.jpg,416,416,Fake,48,0,351,339
real_3095_jpg.rf.d09f8ab106c9c04b00721809a1187ed9.jpg,416,416,Real,85,40,310,296
fake_2880_jpg.rf.d09a660d85e44721bf662b20cf20267a.jpg,416,416,Fake,98,49,307,310
fake_369_jpg.rf.d09806c1afa50694f99ccd2b645e14a8.jpg,416,416,Fake,91,49,334,321
fake_2796_jpg.rf.d0b0c7e86536b0034392e865a8c5fdef.jpg,416,416,Fake,91,35,383,363
real_157_jpg.rf.d0b077ca51038f6da7a146183707cd0c.jpg,416,416,Real,69,0,369,360
real_599_jpg.rf.d0a13032831a18c825bbbfaca71ae413.jpg,416,416,Real,95,69,327,318
real_2795_jpg.rf.d0b4f7724902511069c3f2c0197b6fe1.jpg,416,416,Real,108,59,315,316
real_656_jpg.rf.d0b9af0fbf260aa1d24be1d525788939.jpg,416,416,Real,41,11,334,356
fake_187_jpg.rf.d0bb21da22e3d09c6e35612465aac767.jpg,416,416,Fake,24,16,335,326
fake_3186_jpg.rf.d0b5ef1c533a6fd638e7897d244fe636.jpg,416,416,Fake,88,86,306,328
fake_1829_jpg.rf.d0b79f6cde7f7136aa0845fbaff21e2f.jpg,416,416,Fake,25,0,360,346
fake_2885_jpg.rf.d0bd6957d9fc6809c6ebb46ed3bc67ad.jpg,416,416,Fake,40,8,315,344
real_3680_jpg.rf.d0bb740e07f5e282874a0caf715dc060.jpg,416,416,Real,91,35,303,314
real_193_jpg.rf.d0bfd8ab49520d3dffdb0b742664c8a4.jpg,416,416,Real,69,0,316,349
real_1405_jpg.rf.d0bcd2c8d5a385629aec368bb9f67dea.jpg,416,416,Real,95,76,361,363
fake_3512_jpg.rf.d0c2c31efdc92fb8b7e4e472df2e027c.jpg,416,416,Fake,116,41,328,329
fake_730_jpg.rf.d0c6bf0e2c07aa22c342ace986722465.jpg,416,416,Fake,73,0,340,350
real_2941_jpg.rf.d0d1d3b17c00e883cbc3d9dfb498e644.jpg,416,416,Real,75,2,333,329
real_251_jpg.rf.d0cea13c553ddfa501a7861962ff8de2.jpg,416,416,Real,81,37,281,277
fake_2902_jpg.rf.d0df01c7f7e1e5c6e096e87f840959df.jpg,416,416,Fake,122,67,333,362
real_2751_jpg.rf.d0f7a6de4a210afce4ebc726bc0e5280.jpg,416,416,Real,103,57,311,309
fake_328_jpg.rf.d0fa63109b0f152fc96db25d1baf4175.jpg,416,416,Fake,73,19,329,322
real_2783_jpg.rf.d0d2daeb48d1d26068d21d1128366377.jpg,416,416,Real,54,0,342,333
fake_1636_jpg.rf.d0f9f630f1fc230daa883a5653171797.jpg,416,416,Fake,25,0,307,293
fake_1474_jpg.rf.d104206af4f09ad263d0f9f8e7f88aeb.jpg,416,416,Fake,49,0,363,350
fake_3358_jpg.rf.d0df1179f27a1895070ce86221e656b4.jpg,416,416,Fake,110,35,300,335
real_1696-Kopya-10-_jpg.rf.d10578f599140e3fa32765d59d0d4d20.jpg,416,416,Real,34,0,365,365
fake_428_jpg.rf.d104463c0f36f0bd6da4c76cf79c1366.jpg,416,416,Fake,34,0,377,352
fake_1695_jpg.rf.d0fad2a8604d98a70bec3bb94512a622.jpg,416,416,Fake,73,0,334,354
real_2439_jpg.rf.d10acc2a972741dac1c460fbf96da32a.jpg,416,416,Real,88,22,334,341
fake_3195_jpg.rf.d10dc113e7d1c08e00d5480ef196739d.jpg,416,416,Fake,94,78,310,344
real_230_jpg.rf.d113d7ad4aa727d1bea86b27cd6bcebc.jpg,416,416,Real,119,97,332,340
real_2456_jpg.rf.d1274032d30110f483b1ee78eb64d5c0.jpg,416,416,Real,113,60,296,302
fake_436_jpg.rf.d127dbe33544a9c2e1f1a2ecad57a0c3.jpg,416,416,Fake,78,2,346,363
real_1639_jpg.rf.d11d80a132cd406a90fe9311cc7cac21.jpg,416,416,Real,17,7,350,352
real_570_jpg.rf.d12a73fc7416e790130d10d74ce563d8.jpg,416,416,Real,36,52,343,383
fake_2003_jpg.rf.d138fb8f9c3aad39e6c0b9bf51e423d9.jpg,416,416,Fake,47,0,359,354
fake_797_jpg.rf.d142a144cbf71e3e9d7df007df3e5328.jpg,416,416,Fake,12,0,376,380
fake_227_jpg.rf.d13b6a631a27f6f4230017d03485df05.jpg,416,416,Fake,82,20,328,318
fake_2251_jpg.rf.d142d8dde6c91ad43bc85c31966c37f0.jpg,416,416,Fake,86,0,319,308
real_1849_jpg.rf.d14ddca2fbfdbfdfc8aa91dbdf439f1c.jpg,416,416,Real,94,76,319,331
real_1911_jpg.rf.d154ccccfe58901fdfc1932610099f92.jpg,416,416,Real,82,54,331,335
